"","parameter_stable_id","categories"
"1","IMPC_ABR_030_001","0-85,20-85,20-90,0-95,0-88"
"2","IMPC_ABR_038_001",",0.2"
"3","IMPC_ABR_044_001",",0.1,0.8,0.11,0.011,,0.2,0.08"
"4","IMPC_XRY_025_001","normal,abnormal,imageOnly,unobservable"
"5","IMPC_XRY_006_001","normal,abnormal,imageOnly,unobservable"
"6","IMPC_XRY_055_001","normal,abnormal,imageOnly,unobservable"
"7","IMPC_XRY_011_001","not fused,fused,imageOnly,unobservable"
"8","IMPC_XRY_024_001","normal,abnormal,imageOnly,unobservable"
"9","IMPC_XRY_037_001","Faxitron X-Ray Corporation,Rigaku Corporation (Micro-CT),Bruker,Faxitron Bioptics LLC"
"10","IMPC_XRY_029_001","no syndactylism,Syndactylism,imageOnly,unobservable"
"11","IMPC_XRY_002_001","normal,abnormal,imageOnly,unobservable"
"12","IMPC_XRY_010_001","normal,abnormal,imageOnly,unobservable"
"13","IMPC_XRY_062_001","yes,no,imageOnly,unobservable"
"14","IMPC_XRY_027_001","normal,abnormal,imageOnly,unobservable"
"15","IMPC_XRY_001_001","normal,abnormal,imageOnly,unobservable"
"16","IMPC_XRY_061_001","yes,no,imageOnly,unobservable"
"17","IMPC_EYE_045_001","Ketamine+Xylazine,Isoflurane,Euthatal,Avertin,No anesthesia,Ketamine+Medetomidine"
"18","IMPC_EYE_002_001","absent,present left eye,present right eye,present both eyes,no data left eye,no data right eye,no data for both eyes,no data left eye\, present right eye,no data right eye\, present left eye"
"19","IMPC_EYE_010_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"20","IMPC_EYE_038_001","Bioptigen,Heidelberg Engineering"
"21","IMPC_EYE_080_001","absent,present left eye,present right eye,present both eyes,no data left eye,no data right eye,no data for both eyes,no data left eye\, present right eye,no data right eye\, present left eye"
"22","IMPC_EYE_020_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"23","IMPC_EYE_003_001","absent,present left eye,present right eye,present both eyes,no data left eye,no data right eye,no data for both eyes,no data left eye\, present right eye,no data right eye\, present left eye"
"24","IMPC_EYE_019_001","absent,present left eye,present right eye,present both eyes,no data left eye,no data right eye,no data for both eyes,no data left eye\, present right eye,no data right eye\, present left eye"
"25","IMPC_ABR_052_001","Sanger bespoke averager software,Cambridge Electronic Design,HIS Smart,BioSigRZ,SmartEP,Tucker Davis Technologies"
"26","IMPC_ABR_037_001",",,"
"27","IMPC_ABR_036_001",""
"28","IMPC_EYE_011_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"29","IMPC_EYE_081_001","absent,present left eye,present right eye,present both eyes,no data left eye,no data right eye,no data for both eyes,no data left eye\, present right eye,no data right eye\, present left eye"
"30","IMPC_ABR_046_001","Intraperitoneal,Intramuscular,Subcutaneous"
"31","IMPC_ABR_029_001","0-75,0-85,0-88"
"32","IMPC_EYE_018_001","absent,present left eye,present right eye,present both eyes,no data left eye,no data right eye,no data for both eyes,no data left eye\, present right eye,no data right eye\, present left eye"
"33","IMPC_ABR_034_001","0-85,20-85,0-95,20-90"
"34","IMPC_EYE_017_001","absent,present left eye,present right eye,present both eyes,no data left eye,no data right eye,no data for both eyes,no data left eye\, present right eye,no data right eye\, present left eye"
"35","IMPC_ABR_031_001","0-85,20-85,0-95,0-90"
"36","IMPC_EYE_004_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"37","IMPC_EYE_035_001","Sigma 150K,Omega 500 Unplugged,Micron III,Genesis-D,OMEGA 180 / Superfield NC,Xenon Nova 175W light source + HOPKINS optic 1218AA /Nikon D5100 + 85 mm f/1.8 lens,Omega 180 / 60D,SL4 4AA,Genesis,Genesis-DF"
"38","IMPC_EYE_032_001","SL30,SL130,BQ 900 LED/IM-900,S350,SL-15,SL 990,SL 139,30 SL-M,Micron III slit lamp extension,SL-7E"
"39","IMPC_EYE_084_001","absent,present left eye,present right eye,present both eyes,no data left eye,no data right eye,no data for both eyes,no data left eye\, present right eye,no data right eye\, present left eye"
"40","IMPC_EYE_083_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"41","IMPC_EYE_016_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"42","IMPC_ABR_041_001","In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),Sound proof room,Sound proof booth,Med Associates PVC sound attenuated chamber"
"43","IMPC_ABR_040_001",",,,"
"44","IMPC_EYE_023_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"45","IMPC_ABR_032_001","0-85,0-95,20-85,0-90,0-80"
"46","IMPC_EYE_025_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"47","IMPC_EYE_006_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"48","IMPC_ABR_042_001","Ketamine,Avertin,Pentobarbital"
"49","IMPC_ABR_039_001","42.6,,"
"50","IMPC_EYE_042_001","Pentacam"
"51","IMPC_ABR_043_001","Xylazine,Avertin,None"
"52","IMPC_IMM_105_001","S34857,S-34860,,D9542,S11348,home brew,R37606"
"54","IMPC_IMM_077_001","FACS,Fortessa_1,LSR II,Flow cytometer"
"56","IMPC_XRY_007_001","normal,abnormal,imageOnly,unobservable"
"57","IMPC_XRY_058_001","yes,no,imageOnly,unobservable"
"58","IMPC_EYE_005_001","normal,left eye closed,right eye closed,both eyes closed,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye closed,no data right eye\, left eye closed"
"59","IMPC_IMM_083_001","Collagenase D,Collagenase II"
"61","IMPC_IMM_115_001",""
"62","IMPC_IMM_087_001","Life Technologies,American Optical,Beckman Coulter,BD Biosciences,Merck Millipore,Orflo"
"63","IMPC_EYE_034_001","Haag-Streit,Heine,Phoenix,Kowa,Karl Storz / Nikon,Phoenix Research Labs,Heine / Volk,Keeler LTD"
"64","IMPC_EYE_021_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"65","IMPC_IMM_091_001","00-4300-54,,home brew,10-548E"
"66","IMPC_IMM_079_001","BD LSRFortessa Cell Analyzer,H47100123,Gallios,FACSAria III,BD LSR-II,CANTO-II"
"69","IMPC_IMM_103_001","Sytox Blue,Sytox Green,Zombie NIR,DAPI,Propidium Iodide"
"70","IMPC_EYE_007_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"73","IMPC_EYE_009_001","absent,present left eye,present right eye,present both eyes,no data left eye,no data right eye,no data for both eyes,no data left eye\, present right eye,no data right eye\, present left eye"
"74","IMPC_EYE_039_001","EnvisuTM R-Series SDOIS,Envisu R2200,Spectralis"
"81","IMPC_EYE_082_001","normal,left eye abnormal,right eye abnormal,both eyes abnormal,no data left eye,no data right eye,no data for both eyes,no data left eye\, right eye abnormal,no data right eye\, left eye abnormal"
"83","IMPC_IMM_097_001","Sigma,Life Technologies,Wisent,Wako,Gibco,Biochrom"
"84","IMPC_IMM_088_001","Countess Automated Cell Counter,Reichert Brightline,Gallios,BD LSR-II,Scepter,Attune,Moxi Z,"
"85","IMPC_IMM_081_001","Injection narcosis with Sodium Pentobarbital (Somnopentyl),none,Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Injection narcosis with Tribromoethanol (Avertin),Isoflurane"
"86","IMPC_HEM_041_001","Yes,No"
"87","IMPC_IMM_109_001","Yes,No"
"88","IMPC_IMM_113_001",""
"89","IMPC_IMM_100_001","R8758,11875-101,home brew,189-02145,31800-022,none used,11875-093"
"90","IMPC_HEM_012_001","Gas anaesthesia with Isofluorane,Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg)/Antipamezole (Antisedan\, 1mg/kg),Injection narcosis with Ketamine (110mg/kg)/Xylazine (11mg/kg),Injection narcosis with Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antipamezole (Antisedan\, 1mg/kg),Injection narcosis with Ketamine (137mg/kg)/Xylazine (6.6mg/kg),No anesthesia,Injection narcosis with Tribromoethanol (Avertin)"
"91","IMPC_IMM_106_001",",RT"
"92","IMPC_IMM_086_001","pre-lysis,post-lysis"
"93","IMPC_IMM_114_001","Life Technologies"
"94","IMPC_HEM_026_001",",18-22,,,"
"95","IMPC_HEM_013_001","Cardiac puncture,Retro-orbital puncture,Tail vein,Saphenous vein"
"96","IMPC_HEM_015_001","Kabe Labortechnik 200ul EDTA,Kabe Labortechnik 1ml EDTA,Drummond EDTA Microcaps,Microvette 500 K3E,Eppendorf 1.7ml"
"98","IMPC_HEM_010_001","Scil animal care company Gmbh,Drew Scientific Instrument,Beckman Coulter,Siemens Medical Solutions Diagnostics,Siemens Healthcare Diagnostics Ltd,Sysmex Deutschland GmbH,Abbot Laboratories"
"100","IMPC_HEM_023_001","C57/BL6 chip card,Mouse Card (E0510051710),Mouse Card (E0401091230),No chip card,No chip card (Advia analyser)"
"101","IMPC_HEM_028_001","Yes,No"
"103","IMPC_HEM_018_001","Yes,No"
"104","IMPC_HEM_014_001","EDTA,K(1)-EDTA,K(2)-EDTA,K(3)-EDTA,No"
"105","IMPC_HEM_020_001","ESLIM_024_001,sop.inv.019,RIKENMPP_003a_003,PHENO_CBC,sop.inv.063"
"106","IMPC_CBC_037_001","Cardiac puncture,Retro-orbital puncture,Heart puncture,Jugular vein,Tail vein"
"107","IMPC_CBC_044_001","Neat plasma,1:2,Yes (by Equipment\, automatically),Varies,Neat serum,1:3,1:4,1:5"
"108","IMPC_HEM_011_001","Advia 120,Advia 2120,Scil Vet abc,Hemavet 950 FS,Ac-T diff Analyzer,XT-2000iV,CELL-DYN 3700,Scil Vet abc Plus+"
"110","IMPC_CBC_038_001","No,Lithium Heparin,Sodium Heparin,Heparine"
"112","IMPC_CBC_060_001","Beckman Coulter,Microgenics,Wako and Sekisui"
"113","IMPC_CBC_043_001","Fresh,Frozen,Fresh and frozen"
"114","IMPC_CBC_035_001","Integra 400 Plus,AU 400,AU 480,,JCA-BM2250 (Advia 2400),Hitachi 917,AU 680,UniCel 600 Pro,JCA-BM6070"
"116","IMPC_CBC_042_001","Yes,No"
