LA_parameter,EA_parameter
RBRCLA_CBC_018_001,IMPC_CBC_018_001
RBRCLA_CBC_053_001,IMPC_CBC_053_001
RBRCLA_CBC_026_001,IMPC_CBC_026_001
RBRCLA_CBC_054_001,IMPC_CBC_054_001
RBRCLA_CBC_004_001,IMPC_CBC_004_001
RBRCLA_CBC_033_001,IMPC_CBC_033_001
RBRCLA_CBC_058_001,IMPC_CBC_058_001
RBRCLA_CBC_036_001,IMPC_CBC_036_001
RBRCLA_CBC_017_001,IMPC_CBC_017_001
RBRCLA_CBC_009_001,IMPC_CBC_009_001
RBRCLA_CBC_043_001,IMPC_CBC_043_001
RBRCLA_CBC_039_001,IMPC_CBC_039_001
RBRCLA_CBC_056_001,IMPC_CBC_056_001
RBRCLA_CBC_016_001,IMPC_CBC_016_001
RBRCLA_CBC_028_001,IMPC_CBC_028_001
RBRCLA_CBC_051_001,IMPC_CBC_051_001
RBRCLA_CBC_012_001,IMPC_CBC_012_001
RBRCLA_CBC_013_001,IMPC_CBC_013_001
RBRCLA_CBC_052_001,IMPC_CBC_052_001
RBRCLA_CBC_037_001,IMPC_CBC_037_001
RBRCLA_CBC_055_001,IMPC_CBC_055_001
RBRCLA_CBC_007_001,IMPC_CBC_007_001
RBRCLA_CBC_021_001,IMPC_CBC_021_001
RBRCLA_CBC_001_001,IMPC_CBC_001_001
RBRCLA_CBC_044_001,IMPC_CBC_044_001
RBRCLA_CBC_045_001,IMPC_CBC_045_001
RBRCLA_CBC_038_001,IMPC_CBC_038_001
RBRCLA_CBC_042_001,IMPC_CBC_042_001
RBRCLA_CBC_035_001,IMPC_CBC_035_001
RBRCLA_CBC_031_001,IMPC_CBC_031_001
RBRCLA_CBC_041_001,IMPC_CBC_041_001
RBRCLA_CBC_027_001,IMPC_CBC_027_001
RBRCLA_CBC_003_001,IMPC_CBC_003_001
RBRCLA_CBC_019_001,IMPC_CBC_019_001
RBRCLA_CBC_008_001,IMPC_CBC_008_001
RBRCLA_CBC_005_001,IMPC_CBC_005_001
RBRCLA_CBC_059_001,IMPC_CBC_059_001
RBRCLA_CBC_025_001,IMPC_CBC_025_001
RBRCLA_CBC_006_001,IMPC_CBC_006_001
RBRCLA_CBC_034_001,IMPC_CBC_034_001
RBRCLA_CBC_032_001,IMPC_CBC_032_001
RBRCLA_CBC_057_001,IMPC_CBC_057_001
RBRCLA_CBC_049_001,IMPC_CBC_049_001
RBRCLA_CBC_015_001,IMPC_CBC_015_001
RBRCLA_CBC_048_001,IMPC_CBC_048_001
