"parameter_stable_id","categories"
"ESLIM_001_001_002","as described for wt,abnormal"
"ESLIM_001_001_004","wt distribution,decreased length,increased length"
"ESLIM_001_001_005","wt distribution,decreased thickness,increased thickness"
"ESLIM_001_001_006","wt distribution,abnormal distribution"
"ESLIM_001_001_007","as described for wt,abnormal"
"ESLIM_001_001_009","as described for wt,abnormal color"
"ESLIM_001_001_010","as described for wt,multi-colored,spotted"
"ESLIM_001_001_011","present,absent"
"ESLIM_001_001_012","as described for wt,erect"
"ESLIM_001_001_013","as described for wt,patchy"
"ESLIM_001_001_014","as described for wt,sparse"
"ESLIM_001_001_015","flaky,greasy,as described for wt"
"ESLIM_001_001_016","as described for wt,matted"
"ESLIM_001_001_017","as described for wt,abnormal color"
"ESLIM_001_001_018","as described for wt,mono-colored,multi-colored,spotted"
"ESLIM_001_001_019","present,absent"
"ESLIM_001_001_020","as described for wt,erect"
"ESLIM_001_001_021","as described for wt,patchy"
"ESLIM_001_001_022","as described for wt,sparse"
"ESLIM_001_001_023","as described for wt,flaky,greasy"
"ESLIM_001_001_024","as described for wt,matted"
"ESLIM_001_001_025","as described for wt,abnormal color"
"ESLIM_001_001_026","as described for wt,mono-colored,multi-colored,spotted"
"ESLIM_001_001_027","present,absent"
"ESLIM_001_001_028","erect,as described for wt"
"ESLIM_001_001_029","as described for wt,patchy"
"ESLIM_001_001_030","as described for wt,sparse"
"ESLIM_001_001_031","as described for wt,flaky,greasy"
"ESLIM_001_001_032","as described for wt,matted"
"ESLIM_001_001_033","as described for wt,abnormal color"
"ESLIM_001_001_034","as described for wt,mono-colored,multi-colored,spotted"
"ESLIM_001_001_035","present,absent"
"ESLIM_001_001_036","as described for wt,erect"
"ESLIM_001_001_037","as described for wt,patchy"
"ESLIM_001_001_038","as described for wt,sparse"
"ESLIM_001_001_039","as described for wt,flaky,greasy"
"ESLIM_001_001_040","as described for wt,matted"
"ESLIM_001_001_041","as described for wt,abnormal"
"ESLIM_001_001_043","patchy,as described for wt"
"ESLIM_001_001_044","as described for wt,scaly"
"ESLIM_001_001_045","as described for wt,dry,wet"
"ESLIM_001_001_046","as described for wt,dark,light"
"ESLIM_001_001_047","as described for wt,colorless,variable color"
"ESLIM_001_001_048","as described for wt,loose"
"ESLIM_001_001_049","as described for wt,abnormal color"
"ESLIM_001_001_050","as described for wt,patchy"
"ESLIM_001_001_051","as described for wt,scaly"
"ESLIM_001_001_052","as described for wt,dry,wet"
"ESLIM_001_001_053","as described for wt,dark,light"
"ESLIM_001_001_054","as described for wt,colorless,variable color"
"ESLIM_001_001_055","as described for wt,loose"
"ESLIM_001_001_056","abnormal color,as described for wt"
"ESLIM_001_001_057","as described for wt,left ear skin patchy,right ear skin patchy,bilaterally patchy"
"ESLIM_001_001_058","as described for wt,left ear skin scaly,right ear skin scaly,bilaterally scaly"
"ESLIM_001_001_059","as described for wt,left ear skin dry,right ear skin dry,bilaterally dry,left ear skin wet,right ear skin wet,bilaterally wet"
"ESLIM_001_001_060","as described for wt,left ear skin dark,right ear skin dark,bilaterally dark,left ear skin light,right ear skin light,bilaterally light"
"ESLIM_001_001_061","as described for wt,left ear skin colorless,right ear skin colorless,bilaterally colorless,left ear skin variable color,right ear skin variable color,bilaterally variable color"
"ESLIM_001_001_062","right ear skin loose,bilaterally loose,as described for wt,left ear skin loose"
"ESLIM_001_001_063","as described for wt,left ear skin abnormal color,right ear skin abnormal color,bilaterally abnormal color"
"ESLIM_001_001_064","as described for wt,left hand skin patchy,right hand skin patchy,bilaterally patchy"
"ESLIM_001_001_065","as described for wt,left hand skin scaly,right hand skin scaly,bilaterally scaly"
"ESLIM_001_001_066","right hand skin dry,bilaterally dry,left hand skin wet,right hand skin wet,bilaterally wet,as described for wt,left hand skin dry"
"ESLIM_001_001_067","as described for wt,left hand skin dark,right hand skin dark,bilaterally dark,left hand skin light,right hand skin light,bilaterally light"
"ESLIM_001_001_068","left hand skin variable color,right hand skin variable color,bilaterally variable color,as described for wt,left hand skin colorless,right hand skin colorless,bilaterally colorless"
"ESLIM_001_001_069","as described for wt,left hand skin loose,right hand skin loose,bilaterally loose"
"ESLIM_001_001_070","as described for wt,left hand skin abnormal color,right hand skin abnormal color,bilaterally abnormal color"
"ESLIM_001_001_071","as described for wt,left foot skin patchy,right foot skin patchy,bilaterally patchy"
"ESLIM_001_001_072","left foot skin scaly,right foot skin scaly,bilaterally scaly,as described for wt"
"ESLIM_001_001_073","as described for wt,left foot skin dry,right foot skin dry,bilaterally dry,left foot skin wet,right foot skin wet,bilaterally wet"
"ESLIM_001_001_074","bilaterally light,as described for wt,left foot skin dark,right foot skin dark,bilaterally dark,left foot skin light,right foot skin light"
"ESLIM_001_001_075","as described for wt,left foot skin colorless,right foot skin colorless,bilaterally colorless,left foot skin variable color,right foot skin variable color,bilaterally variable color"
"ESLIM_001_001_076","as described for wt,left foot skin loose,right foot skin loose,bilaterally loose"
"ESLIM_001_001_077","as described for wt,left foot skin abnormal color,right foot skin abnormal color,bilaterally abnormal color"
"ESLIM_001_001_078","as described for wt,patchy"
"ESLIM_001_001_079","as described for wt,scaly"
"ESLIM_001_001_080","as described for wt,dry,wet"
"ESLIM_001_001_081","as described for wt,dark,light"
"ESLIM_001_001_082","as described for wt,colorless,variable color"
"ESLIM_001_001_083","as described for wt,loose"
"ESLIM_001_001_084","abnormal color,as described for wt"
"ESLIM_001_001_085","as described for wt,abnormal"
"ESLIM_001_001_087","wt distribution,decreased length,increased length"
"ESLIM_001_001_088","wt distribution,decreased width,increased width"
"ESLIM_001_001_089","wt distribution,domed"
"ESLIM_001_001_090","as described for wt,asymmetrical"
"ESLIM_001_001_091","normal,abnormal"
"ESLIM_001_001_092","decreased length,increased length,wt distribution"
"ESLIM_001_001_093","wt distribution,decreased width,increased width"
"ESLIM_001_001_094","normal,abnormal"
"ESLIM_001_001_095","present,absent"
"ESLIM_001_001_096","wt distribution,increased curvature,decreased curvature"
"ESLIM_001_001_097","wt distribution,decreased length,increased length"
"ESLIM_001_001_098","disoriented/random,as described for wt"
"ESLIM_001_001_099","as described for wt,cleft"
"ESLIM_001_001_100","as described for wt,cleft"
"ESLIM_001_001_101","as described for wt,abnormal"
"ESLIM_001_001_102","as described for wt,abnormal"
"ESLIM_001_001_103","as described for wt,deformed"
"ESLIM_001_001_104","present,absent"
"ESLIM_001_001_105","as described for wt,discolored"
"ESLIM_001_001_106","decreased size,increased size,wt distribution"
"ESLIM_001_001_107","absent,present"
"ESLIM_001_001_108","as described for wt,left ear abormal,right ear abnormal,bilaterally abnormal"
"ESLIM_001_001_109","as described for wt,right ear decreased position,left ear decreased position,bilaterally decreased position"
"ESLIM_001_001_110","present,left ear absent,right ear absent,bilaterally absent"
"ESLIM_001_001_111","as described for wt,left ear folded,right ear folded,bilaterally folded,left ear pointed,right ear pointed,bilaterally pointed"
"ESLIM_001_001_112","wt distribution,left ear decreased size,right ear decreased size,bilaterally decreased size,left ear increased size,right ear increased size,bilaterally increased size"
"ESLIM_001_001_113","right ear anteriorly rotated,bilaterally anteriorly rotated,left ear posteriorly rotated,right ear posteriorly rotated,bilaterally posteriorly rotated,as described for wt,left ear anteriorly rotated"
"ESLIM_001_001_114","as described for wt,left eye abnormal,right eye abnormal,bilaterally abnormal"
"ESLIM_001_001_115","as described for wt,left eye opaque,right eye opaque,bilaterally opaque,left eye transparent,right eye transparent,bilaterally transparent"
"ESLIM_001_001_116","present,left eye absent,right eye absent,bilaterally absent"
"ESLIM_001_001_117","wt distribution,left eye decreased size,right eye decreased size,bilaterally decreased size,left eye increased size,right eye increased size,bilaterally increased size"
"ESLIM_001_001_118","as described for wt,left eye wet,right eye wet,bilaterally wet"
"ESLIM_001_001_119","left eye abnormal color,right eye abnormal color,bilaterally abnormal color,as described for wt"
"ESLIM_001_001_120","as described for wt,left eyelid closed,right eyelid closed,bilaterally closed,left eyelid closure incomplete,right eyelid closure incomplete,bilateral closure incomplete"
"ESLIM_001_001_121","bilaterally present,left eyelid absent,right eyelid absent,bilaterally absent"
"ESLIM_001_001_122","as described for wt,abnormal"
"ESLIM_001_001_124","wt distribution,increased size,decreased size"
"ESLIM_001_001_125","present,absent"
"ESLIM_001_001_126","as described for wt,swollen"
"ESLIM_001_001_127","as described for wt,abnormal"
"ESLIM_001_001_129","wt distribution,increased size,decreased size"
"ESLIM_001_001_130","present,absent"
"ESLIM_001_001_131","as described for wt,underdeveloped"
"ESLIM_001_001_132","as described for wt,left forelimb abnormal,right forelimb abnormal,bilaterally abnormal"
"ESLIM_001_001_134","wt distribution,left forelimb increased size,right forelimb increased size,bilaterally increased size,left forelimb decreased size,right forelimb decreased size,bilaterally decreased size"
"ESLIM_001_001_135","as described for wt,left forelimb abnormal,right forelimb abnormal,bilaterally abnormal"
"ESLIM_001_001_136","left forelimb inflexible,right forelimb inflexible,bilaterally inflexible,as described for wt"
"ESLIM_001_001_137","wt distribution,left forelimb increased length,right forelimb increased length,bilaterally increased length,left forelimb decreased length,right forelimb decreased length,bilaterally decreased length"
"ESLIM_001_001_138","bilaterally decreased thickness,as described for wt,left forelimb increased thickness,right forelimb increased thickness,bilaterally increased thickness,left forelimb decreased thickness,right forelimb decreased thickness"
"ESLIM_001_001_139","as described for wt,left forelimb abnormal,right forelimb abnormal,bilaterally abnormal"
"ESLIM_001_001_140","as described for wt,left forelimb joint swollen,right forelimb joint swollen,bilaterally swollen"
"ESLIM_001_001_141","as described for wt,left hand abnormal,right hand abnormal,bilaterally abnormal"
"ESLIM_001_001_142","bilaterally decreased size,left hand increased size,right hand increased size,bilaterally increased size,wt distribution,left hand decreased size,right hand decreased size"
"ESLIM_001_001_143","wt distribution,left hand decreased length,right hand decreased length,bilaterally decreased length,left hand increased length,right hand increased length,bilaterally increased length"
"ESLIM_001_001_144","as described for wt,left hand swollen,right hand swollen,bilaterally swollen"
"ESLIM_001_001_145","left hand footpad swollen,right hand footpad swollen,bilaterally swollen,as described for wt"
"ESLIM_001_001_146","as described for wt,left hand digit decreased number,right hand digit decreased number,bilaterally decreased number,left hand digit increased number,right hand digit increased number,bilaterally increased number"
