EA_parameter,LA_parameter
IMPC_ABR_001_001,BCMLA_ABR_001_001
IMPC_ABR_001_001,ICSLA_ABR_001_001
IMPC_ABR_001_001,RBRCLA_ABR_001_001
IMPC_ABR_002_001,BCMLA_ABR_002_001
IMPC_ABR_002_001,ICSLA_ABR_002_001
IMPC_ABR_002_001,RBRCLA_ABR_002_001
IMPC_ABR_003_001,BCMLA_ABR_003_001
IMPC_ABR_003_001,ICSLA_ABR_003_001
IMPC_ABR_003_001,RBRCLA_ABR_003_001
IMPC_ABR_004_001,BCMLA_ABR_004_001
IMPC_ABR_004_001,ICSLA_ABR_004_001
IMPC_ABR_004_001,RBRCLA_ABR_004_001
IMPC_ABR_005_001,BCMLA_ABR_005_001
IMPC_ABR_005_001,ICSLA_ABR_005_001
IMPC_ABR_005_001,RBRCLA_ABR_005_001
IMPC_ABR_006_001,BCMLA_ABR_006_001
IMPC_ABR_006_001,ICSLA_ABR_006_001
IMPC_ABR_006_001,RBRCLA_ABR_006_001
IMPC_ABR_007_001,BCMLA_ABR_007_001
IMPC_ABR_007_001,ICSLA_ABR_007_001
IMPC_ABR_007_001,RBRCLA_ABR_007_001
IMPC_ABR_008_001,BCMLA_ABR_008_001
IMPC_ABR_008_001,ICSLA_ABR_008_001
IMPC_ABR_008_001,RBRCLA_ABR_008_001
IMPC_ABR_009_001,BCMLA_ABR_009_001
IMPC_ABR_009_001,ICSLA_ABR_009_001
IMPC_ABR_009_001,RBRCLA_ABR_009_001
IMPC_ABR_010_001,BCMLA_ABR_010_001
IMPC_ABR_010_001,ICSLA_ABR_010_001
IMPC_ABR_010_001,RBRCLA_ABR_010_001
IMPC_ABR_011_001,BCMLA_ABR_011_001
IMPC_ABR_011_001,ICSLA_ABR_011_001
IMPC_ABR_011_001,RBRCLA_ABR_011_001
IMPC_ABR_012_001,BCMLA_ABR_012_001
IMPC_ABR_012_001,ICSLA_ABR_012_001
IMPC_ABR_012_001,RBRCLA_ABR_012_001
IMPC_ABR_013_001,BCMLA_ABR_013_001
IMPC_ABR_013_001,ICSLA_ABR_013_001
IMPC_ABR_013_001,RBRCLA_ABR_013_001
IMPC_ABR_014_001,BCMLA_ABR_014_001
IMPC_ABR_014_001,ICSLA_ABR_014_001
IMPC_ABR_014_001,RBRCLA_ABR_014_001
IMPC_ABR_015_001,BCMLA_ABR_015_001
IMPC_ABR_015_001,ICSLA_ABR_015_001
IMPC_ABR_015_001,RBRCLA_ABR_015_001
IMPC_ABR_016_001,BCMLA_ABR_016_001
IMPC_ABR_016_001,ICSLA_ABR_016_001
IMPC_ABR_016_001,RBRCLA_ABR_016_001
IMPC_ABR_017_001,BCMLA_ABR_017_001
IMPC_ABR_017_001,ICSLA_ABR_017_001
IMPC_ABR_017_001,RBRCLA_ABR_017_001
IMPC_ABR_018_001,BCMLA_ABR_018_001
IMPC_ABR_018_001,ICSLA_ABR_018_001
IMPC_ABR_018_001,RBRCLA_ABR_018_001
IMPC_ABR_019_001,BCMLA_ABR_019_001
IMPC_ABR_019_001,ICSLA_ABR_019_001
IMPC_ABR_019_001,RBRCLA_ABR_019_001
IMPC_ABR_020_001,BCMLA_ABR_020_001
IMPC_ABR_020_001,ICSLA_ABR_020_001
IMPC_ABR_020_001,RBRCLA_ABR_020_001
IMPC_ABR_021_001,BCMLA_ABR_021_001
IMPC_ABR_021_001,ICSLA_ABR_021_001
IMPC_ABR_021_001,RBRCLA_ABR_021_001
IMPC_ABR_022_001,BCMLA_ABR_022_001
IMPC_ABR_022_001,ICSLA_ABR_022_001
IMPC_ABR_022_001,RBRCLA_ABR_022_001
IMPC_ABR_023_001,BCMLA_ABR_023_001
IMPC_ABR_023_001,ICSLA_ABR_023_001
IMPC_ABR_023_001,RBRCLA_ABR_023_001
IMPC_ABR_024_001,BCMLA_ABR_024_001
IMPC_ABR_024_001,ICSLA_ABR_024_001
IMPC_ABR_024_001,RBRCLA_ABR_024_001
IMPC_ABR_025_001,BCMLA_ABR_025_001
IMPC_ABR_025_001,ICSLA_ABR_025_001
IMPC_ABR_025_001,RBRCLA_ABR_025_001
IMPC_ABR_026_001,BCMLA_ABR_026_001
IMPC_ABR_026_001,ICSLA_ABR_026_001
IMPC_ABR_026_001,RBRCLA_ABR_026_001
IMPC_ABR_027_001,BCMLA_ABR_027_001
IMPC_ABR_027_001,ICSLA_ABR_027_001
IMPC_ABR_027_001,RBRCLA_ABR_027_001
IMPC_ABR_028_001,BCMLA_ABR_028_001
IMPC_ABR_028_001,ICSLA_ABR_028_001
IMPC_ABR_028_001,RBRCLA_ABR_028_001
IMPC_ABR_029_001,BCMLA_ABR_029_001
IMPC_ABR_029_001,ICSLA_ABR_029_001
IMPC_ABR_029_001,RBRCLA_ABR_029_001
IMPC_ABR_030_001,BCMLA_ABR_030_001
IMPC_ABR_030_001,ICSLA_ABR_030_001
IMPC_ABR_030_001,RBRCLA_ABR_030_001
IMPC_ABR_031_001,BCMLA_ABR_031_001
IMPC_ABR_031_001,ICSLA_ABR_031_001
IMPC_ABR_031_001,RBRCLA_ABR_031_001
IMPC_ABR_032_001,BCMLA_ABR_032_001
IMPC_ABR_032_001,ICSLA_ABR_032_001
IMPC_ABR_032_001,RBRCLA_ABR_032_001
IMPC_ABR_033_001,BCMLA_ABR_033_001
IMPC_ABR_033_001,ICSLA_ABR_033_001
IMPC_ABR_033_001,RBRCLA_ABR_033_001
IMPC_ABR_034_001,BCMLA_ABR_034_001
IMPC_ABR_034_001,ICSLA_ABR_034_001
IMPC_ABR_034_001,RBRCLA_ABR_034_001
IMPC_ABR_035_001,BCMLA_ABR_035_001
IMPC_ABR_035_001,ICSLA_ABR_035_001
IMPC_ABR_035_001,RBRCLA_ABR_035_001
IMPC_ABR_036_001,BCMLA_ABR_036_001
IMPC_ABR_036_001,ICSLA_ABR_036_001
IMPC_ABR_036_001,RBRCLA_ABR_036_001
IMPC_ABR_037_001,BCMLA_ABR_037_001
IMPC_ABR_037_001,ICSLA_ABR_037_001
IMPC_ABR_037_001,RBRCLA_ABR_037_001
IMPC_ABR_038_001,BCMLA_ABR_038_001
IMPC_ABR_038_001,ICSLA_ABR_038_001
IMPC_ABR_038_001,RBRCLA_ABR_038_001
IMPC_ABR_039_001,BCMLA_ABR_039_001
IMPC_ABR_039_001,ICSLA_ABR_039_001
IMPC_ABR_039_001,RBRCLA_ABR_039_001
IMPC_ABR_040_001,BCMLA_ABR_040_001
IMPC_ABR_040_001,ICSLA_ABR_040_001
IMPC_ABR_040_001,RBRCLA_ABR_040_001
IMPC_ABR_041_001,BCMLA_ABR_041_001
IMPC_ABR_041_001,ICSLA_ABR_041_001
IMPC_ABR_041_001,RBRCLA_ABR_041_001
IMPC_ABR_042_001,BCMLA_ABR_042_001
IMPC_ABR_042_001,ICSLA_ABR_042_001
IMPC_ABR_042_001,RBRCLA_ABR_042_001
IMPC_ABR_043_001,BCMLA_ABR_043_001
IMPC_ABR_043_001,ICSLA_ABR_043_001
IMPC_ABR_043_001,RBRCLA_ABR_043_001
IMPC_ABR_044_001,BCMLA_ABR_044_001
IMPC_ABR_044_001,ICSLA_ABR_044_001
IMPC_ABR_044_001,RBRCLA_ABR_044_001
IMPC_ABR_045_001,BCMLA_ABR_045_001
IMPC_ABR_045_001,ICSLA_ABR_045_001
IMPC_ABR_045_001,RBRCLA_ABR_045_001
IMPC_ABR_046_001,BCMLA_ABR_046_001
IMPC_ABR_046_001,ICSLA_ABR_046_001
IMPC_ABR_046_001,RBRCLA_ABR_046_001
IMPC_ABR_048_001,BCMLA_ABR_047_001
IMPC_ABR_048_001,ICSLA_ABR_047_001
IMPC_ABR_048_001,RBRCLA_ABR_048_001
IMPC_ABR_049_001,BCMLA_ABR_048_001
IMPC_ABR_049_001,ICSLA_ABR_048_001
IMPC_ABR_049_001,RBRCLA_ABR_049_001
IMPC_ABR_050_001,BCMLA_ABR_049_001
IMPC_ABR_050_001,ICSLA_ABR_049_001
IMPC_ABR_050_001,RBRCLA_ABR_050_001
IMPC_ABR_051_001,BCMLA_ABR_050_001
IMPC_ABR_051_001,ICSLA_ABR_050_001
IMPC_ABR_051_001,RBRCLA_ABR_051_001
IMPC_ABR_052_001,BCMLA_ABR_051_001
IMPC_ABR_052_001,ICSLA_ABR_051_001
IMPC_ABR_052_001,RBRCLA_ABR_052_001
IMPC_ABR_053_001,BCMLA_ABR_052_001
IMPC_ABR_053_001,ICSLA_ABR_052_001
IMPC_ABR_053_001,RBRCLA_ABR_053_001
IMPC_ABR_054_001,BCMLA_ABR_053_001
IMPC_ABR_054_001,ICSLA_ABR_053_001
IMPC_ABR_054_001,RBRCLA_ABR_054_001
