"parameter_stable_id","procedure_name","Procedure","n","NormalFDR","WindowedFDR","NormalAlpha","WindowedAlpha","WindowedFDRPercent","diff","Gain","odd"
"IMPC_ACS_037_001","Acoustic Startle and Pre-pulse Inhibition (PPI)","IMPC_ACS",13885,771,198,0.0555,0.0143,20.43,-573,TRUE,0.26
"IMPC_CBC_012_001","Clinical Chemistry","IMPC_CBC",18960,140,676,0.0074,0.0357,82.84,536,FALSE,4.83
"IMPC_ECG_006_001","Electrocardiogram (ECG)","IMPC_ECG",21710,562,46,0.0259,0.0021,7.57,-516,TRUE,0.08
"IMPC_CBC_013_001","Clinical Chemistry","IMPC_CBC",19150,166,654,0.0087,0.0342,79.76,488,FALSE,3.94
"IMPC_DXA_006_001","Body Composition (DEXA lean/fat)","IMPC_DXA",23728,960,618,0.0405,0.026,39.16,-342,TRUE,0.64
"IMPC_HEM_033_001","Hematology","IMPC_HEM",11465,248,515,0.0216,0.0449,67.5,267,FALSE,2.08
"IMPC_ECH_009_001","Echo","IMPC_ECH",6780,271,21,0.04,0.0031,7.19,-250,TRUE,0.08
"IMPC_CBC_008_001","Clinical Chemistry","IMPC_CBC",18759,71,316,0.0038,0.0168,81.65,245,FALSE,4.45
"IMPC_DXA_007_001","Body Composition (DEXA lean/fat)","IMPC_DXA",27005,523,289,0.0194,0.0107,35.59,-234,TRUE,0.55
"IMPC_ACS_035_001","Acoustic Startle and Pre-pulse Inhibition (PPI)","IMPC_ACS",23311,382,154,0.0164,0.0066,28.73,-228,TRUE,0.4
"IMPC_ECH_007_001","Echo","IMPC_ECH",5005,248,23,0.0496,0.0046,8.49,-225,TRUE,0.09
"IMPC_EYE_066_001","Eye Morphology","IMPC_EYE",2165,246,31,0.1136,0.0143,11.19,-215,TRUE,0.13
"IMPC_ACS_033_001","Acoustic Startle and Pre-pulse Inhibition (PPI)","IMPC_ACS",23314,1151,973,0.0494,0.0417,45.81,-178,TRUE,0.85
"IMPC_DXA_010_001","Body Composition (DEXA lean/fat)","IMPC_DXA",27005,490,316,0.0181,0.0117,39.21,-174,TRUE,0.64
"IMPC_ECH_012_001","Echo","IMPC_ECH",5960,333,175,0.0559,0.0294,34.45,-158,TRUE,0.53
"IMPC_ECG_002_001","Electrocardiogram (ECG)","IMPC_ECG",21710,107,262,0.0049,0.0121,71,155,FALSE,2.45
"IMPC_ACS_006_001","Acoustic Startle and Pre-pulse Inhibition (PPI)","IMPC_ACS",23315,164,10,0.007,4e-04,5.75,-154,TRUE,0.06
