Colony Prefix,Colony Name,Strain,Cohort Name,Pipeline,DCF Version,Gene Name,Mouse Name,Mouse,Genotype,Sex,Birth Date,Assay Date,Age In Weeks,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,-,,-,,-,,-,,-,,-,,-,,-,Mouse Status,X Ray Equipment Name,X Ray Equipment Manufacturer,X Ray Equipment Model,Level Used,Core Strain,Full Strain
MCTN,Cbx5 Knockout 1 EPD0445_4_A07,C57BL/6N;C57BL/6NTac,B6N MGP Select 20120730,MGP Select,V2,Cbx5,MCTN79.3g,M01233374,+/+,Female,2012-07-31,2012-11-06,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N(50%);C57BL/6NTac(50%)
MCTN,Cbx5 Knockout 1 EPD0445_4_A07,C57BL/6N;C57BL/6NTac,B6N MGP Select 20120730,MGP Select,V2,Cbx5,MCTN79.3j,M01233377,+/+,Female,2012-07-31,2012-11-06,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N(50%);C57BL/6NTac(50%)
MCTN,Cbx5 Knockout 1 EPD0445_4_A07,C57BL/6N;C57BL/6NTac,B6N MGP Select 20120730,MGP Select,V2,Cbx5,MCTN79.3h,M01233375,+/+,Female,2012-07-31,2012-11-06,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N(50%);C57BL/6NTac(50%)
MDUP,Rnaseh2c Knockout EPD0296_4_E05,C57BL/6N;C57BL/6NTac,B6N MGP Select 20120827,MGP Select,V2,Rnaseh2c,MDUP27.1c,M01245294,+/+,Female,2012-08-28,2012-12-04,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDFF,Tsfm Knockout 1 EPD0176_3_C01,C57BL/6N;C57BL/6NTac,B6N MGP Select 20120906,MGP Select,V2,Tsfm,MDFF44.2e,M01262709,+/+,Female,2012-09-04,2012-12-11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MEVA,Akt1s1 tm1a(EUCOMM)Wtsi EPD0156_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20120909,MGP Select,V2,Akt1s1,MEVA17.1b,M01264809,+/+,Female,2012-09-10,2012-12-17,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MEVA,Akt1s1 tm1a(EUCOMM)Wtsi EPD0156_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20120909,MGP Select,V2,Akt1s1,MEVA17.1c,M01264810,+/+,Female,2012-09-10,2012-12-17,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MEVA,Akt1s1 tm1a(EUCOMM)Wtsi EPD0156_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20120909,MGP Select,V2,Akt1s1,MEVA17.1d,M01264811,+/+,Female,2012-09-10,2012-12-17,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDKG,Dph2 Knockout EPD0438_5_G07 #2,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121011,MGP Select,V2,Dph2,MDKG59.1g,M01286332,+/+,Female,2012-10-10,2013-01-16,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDKG,Dph2 Knockout EPD0438_5_G07 #2,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121011,MGP Select,V2,Dph2,MDKG59.1h,M01286333,+/+,Female,2012-10-10,2013-01-16,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDZN,Ubash3a Knockout 1 EPD0736_4_B10,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121217,MGP Select,V2,Ubash3a,MDZN31.2h,M01356509,+/+,Female,2012-12-17,2013-03-25,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDZN,Ubash3a Knockout 1 EPD0736_4_B10,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121217,MGP Select,V2,Ubash3a,MDZN31.2f,M01356507,+/+,Female,2012-12-17,2013-03-25,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
